Line	MessageNo	File Name
0	1	mikroc8051.exe -MSF -DBG -pAT89S52 -ES -DL -O11111114 -fo11.0592 -N"F:\ES group 3\ass5\two_7_segment.mcp51" -SP"C:\Program Files\Mikroelektronika\mikroC PRO for 8051\defs\" -SP"C:\Program Files\Mikroelektronika\mikroC PRO for 8051\Uses\ATMEL\" -SP"F:\ES group 3\ass5\" "two_7_segment.c" "__Lib_Math.mcl" "__Lib_MathDouble.mcl" "__Lib_System.mcl" "__Lib_Delays.mcl" "__Lib_UART_Timer1.mcl" "__Lib_CType.mcl" "__Lib_CString.mcl" "__Lib_CStdlib.mcl" "__Lib_CMath.mcl" "__Lib_Conversions.mcl" "__Lib_Sprintf.mcl" "__Lib_PrintOut.mcl" "__Lib_Sprinti.mcl" "__Lib_Sprintl.mcl" "__Lib_Time.mcl" "__Lib_Trigonometry.mcl" "__Lib_Button.mcl" "__Lib_Keypad4x4.mcl" "__Lib_Manchester.mcl" "__Lib_OneWire.mcl" "__Lib_PS2.mcl" "__Lib_Sound.mcl" "__Lib_SoftI2C.mcl" "__Lib_SoftSPI.mcl" "__Lib_SoftUART.mcl" "__Lib_GlcdFonts.mcl" "__Lib_Glcd.mcl" "__Lib_LcdConsts.mcl" "__Lib_Lcd.mcl" "__Lib_RS485.mcl" "__Lib_T6963C.mcl"	 
diagnostics: 0	125	All files Preprocessed in 63 ms	 
diagnostics: 0	121	Compilation Started	two_7_segment.c
diagnostics: 51	122	Compiled Successfully	two_7_segment.c
diagnostics: 0	126	All files Compiled in 109 ms	 
hint: 0	1141	Used BDATA RAM (bytes): 0 (1%) Free BDATA RAM (bytes): 16 (99%)	Used BDATA RAM (bytes): 0 (1%) Free BDATA RAM (bytes): 16 (99%)
hint: 0	1141	Used DATA RAM (bytes): 10 (10%) Free DATA RAM (bytes): 94 (90%)	Used DATA RAM (bytes): 10 (10%) Free DATA RAM (bytes): 94 (90%)
hint: 0	1141	Used IDATA RAM (bytes): 0 (1%) Free IDATA RAM (bytes): 128 (99%)	Used IDATA RAM (bytes): 0 (1%) Free IDATA RAM (bytes): 128 (99%)
hint: 0	1141	Used ROM (bytes): 573 (7%)  Free ROM (bytes): 7619 (93%)	Used ROM (bytes): 573 (7%)  Free ROM (bytes): 7619 (93%)
diagnostics: 0	124	Project Linked Successfully	two_7_segment.mcp51
diagnostics: 0	127	Linked in 234 ms	 
diagnostics: 0	128	Project 'two_7_segment.mcp51' completed: 624 ms	 
diagnostics: 0	103	Finished successfully: 09 Mar 2018, 17:02:23	two_7_segment.mcp51
